from,to,movers
New Hampshire,Florida,5012
New Jersey,Florida,33226
New Mexico,Florida,2416
New York,Florida,71138
North Carolina,Florida,25290
North Dakota,Florida,1189
Ohio,Florida,18543
Oklahoma,Florida,5488
Oregon,Florida,2310
Pennsylvania,Florida,27770
Rhode Island,Florida,3400
South Carolina,Florida,14066
South Dakota,Florida,555
Tennessee,Florida,15663
Texas,Florida,37781
Utah,Florida,3733
Vermont,Florida,1739
Virginia,Florida,28226
Washington,Florida,9009
West Virginia,Florida,4044
Wisconsin,Florida,9232
Wyoming,Florida,162
Puerto Rico,Florida,12534
Alabama,Georgia,17506
Alaska,Georgia,1028
Arizona,Georgia,2706
Arkansas,Georgia,2912
California,Georgia,20191
Colorado,Georgia,5154
Connecticut,Georgia,3380
Delaware,Georgia,747
District of Columbia ,Georgia,1475
Florida,Georgia,55250
Georgia,Georgia,
Hawaii,Georgia,482
Idaho,Georgia,2056
Illinois,Georgia,9133
Indiana,Georgia,3422
Iowa,Georgia,1482
Kansas,Georgia,3418
Kentucky,Georgia,2671
Louisiana,Georgia,6264
Maine,Georgia,1141
Maryland,Georgia,6244
Massachusetts,Georgia,1739
Michigan,Georgia,3945
Minnesota,Georgia,2803
Mississippi,Georgia,3070
Missouri,Georgia,3814
Montana,Georgia,237
Nebraska,Georgia,506
Nevada,Georgia,2822
New Hampshire,Georgia,670
New Jersey,Georgia,6339
New Mexico,Georgia,2936
New York,Georgia,21998
North Carolina,Georgia,17310
North Dakota,Georgia,57
Ohio,Georgia,7590
Oklahoma,Georgia,2067
Oregon,Georgia,1060
Pennsylvania,Georgia,8763
Rhode Island,Georgia,1508
South Carolina,Georgia,16635
South Dakota,Georgia,771
Tennessee,Georgia,17332
Texas,Georgia,20923
Utah,Georgia,2184
Vermont,Georgia,0
Virginia,Georgia,6866
Washington,Georgia,6050
West Virginia,Georgia,1146
Wisconsin,Georgia,2649
Wyoming,Georgia,0
Puerto Rico,Georgia,1667
Alabama,Hawaii,346
Alaska,Hawaii,1135
Arizona,Hawaii,1932
Arkansas,Hawaii,152
California,Hawaii,11200
Colorado,Hawaii,3359
Connecticut,Hawaii,702
Delaware,Hawaii,277
District of Columbia ,Hawaii,773
Florida,Hawaii,2061
Georgia,Hawaii,1276
Hawaii,Hawaii,
Idaho,Hawaii,1042
Illinois,Hawaii,907
Indiana,Hawaii,0
Iowa,Hawaii,0
Kansas,Hawaii,243
Kentucky,Hawaii,489
Louisiana,Hawaii,1150
Maine,Hawaii,0
Maryland,Hawaii,2699
Massachusetts,Hawaii,182
Michigan,Hawaii,463
Minnesota,Hawaii,893
Mississippi,Hawaii,0
Missouri,Hawaii,996
Montana,Hawaii,111
Nebraska,Hawaii,0
Nevada,Hawaii,1393
New Hampshire,Hawaii,70
New Jersey,Hawaii,59
New Mexico,Hawaii,986
New York,Hawaii,1776
North Carolina,Hawaii,2816
North Dakota,Hawaii,0
Ohio,Hawaii,674
Oklahoma,Hawaii,177
Oregon,Hawaii,1443
Pennsylvania,Hawaii,498
Rhode Island,Hawaii,59
South Carolina,Hawaii,820
South Dakota,Hawaii,99
Tennessee,Hawaii,968
Texas,Hawaii,3742
Utah,Hawaii,1884
Vermont,Hawaii,0
Virginia,Hawaii,3388
Washington,Hawaii,4092
West Virginia,Hawaii,0
Wisconsin,Hawaii,1149
Wyoming,Hawaii,58
Puerto Rico,Hawaii,29
Alabama,Idaho,380
Alaska,Idaho,1117
Arizona,Idaho,4026
Arkansas,Idaho,533
California,Idaho,17338
Colorado,Idaho,1851
Connecticut,Idaho,436
Delaware,Idaho,0
District of Columbia ,Idaho,0
Florida,Idaho,921
Georgia,Idaho,78
Hawaii,Idaho,1089
Idaho,Idaho,
Illinois,Idaho,571
Indiana,Idaho,830
Iowa,Idaho,479
Kansas,Idaho,1229
Kentucky,Idaho,434
Louisiana,Idaho,0
Maine,Idaho,43
Maryland,Idaho,111
Massachusetts,Idaho,260
Michigan,Idaho,404
Minnesota,Idaho,485
Mississippi,Idaho,136
Missouri,Idaho,349
Montana,Idaho,2754
Nebraska,Idaho,324
Nevada,Idaho,2025
New Hampshire,Idaho,0
New Jersey,Idaho,780
New Mexico,Idaho,1566
New York,Idaho,77
North Carolina,Idaho,1187
North Dakota,Idaho,256
Ohio,Idaho,703
Oklahoma,Idaho,670
Oregon,Idaho,7458
Pennsylvania,Idaho,394
Rhode Island,Idaho,113
South Carolina,Idaho,97
South Dakota,Idaho,388
Tennessee,Idaho,369
Texas,Idaho,5526
Utah,Idaho,5537
Vermont,Idaho,0
Virginia,Idaho,1290
Washington,Idaho,14655
West Virginia,Idaho,395
Wisconsin,Idaho,229
Wyoming,Idaho,1815
Puerto Rico,Idaho,41
Alabama,Illinois,1375
Alaska,Illinois,30
Arizona,Illinois,4417
Arkansas,Illinois,2189
California,Illinois,16460
Colorado,Illinois,5827
Connecticut,Illinois,863
Delaware,Illinois,60
District of Columbia ,Illinois,1790
Florida,Illinois,19100
Georgia,Illinois,4895
Hawaii,Illinois,1168
Idaho,Illinois,354
Illinois,Illinois,
Indiana,Illinois,11555
Iowa,Illinois,8326
Kansas,Illinois,1468
Kentucky,Illinois,3162
Louisiana,Illinois,1497
Maine,Illinois,265
Maryland,Illinois,2512
Massachusetts,Illinois,1938
Michigan,Illinois,10345
Minnesota,Illinois,3641
Mississippi,Illinois,1894
Missouri,Illinois,14982
Montana,Illinois,224
Nebraska,Illinois,1229
Nevada,Illinois,2181
New Hampshire,Illinois,524
New Jersey,Illinois,2755
New Mexico,Illinois,1096
New York,Illinois,8394
North Carolina,Illinois,5531
North Dakota,Illinois,252
Ohio,Illinois,4914
Oklahoma,Illinois,2408
Oregon,Illinois,3381
Pennsylvania,Illinois,3394
Rhode Island,Illinois,170
South Carolina,Illinois,2084
South Dakota,Illinois,140
Tennessee,Illinois,4005
Texas,Illinois,15227
Utah,Illinois,1496
Vermont,Illinois,1057
Virginia,Illinois,4876
Washington,Illinois,3100
West Virginia,Illinois,968
Wisconsin,Illinois,14135
Wyoming,Illinois,104
Puerto Rico,Illinois,1354
Alabama,Indiana,2206
Alaska,Indiana,818
Arizona,Indiana,2123
Arkansas,Indiana,754
California,Indiana,7740
Colorado,Indiana,3164
Connecticut,Indiana,427
Delaware,Indiana,121
District of Columbia ,Indiana,0
Florida,Indiana,14798
Georgia,Indiana,1606
Hawaii,Indiana,81
Idaho,Indiana,0
Illinois,Indiana,29426
Indiana,Indiana,
Iowa,Indiana,854
Kansas,Indiana,701
Kentucky,Indiana,12257
Louisiana,Indiana,784
Maine,Indiana,24
Maryland,Indiana,668
Massachusetts,Indiana,1033
Michigan,Indiana,8137
Minnesota,Indiana,1579
Mississippi,Indiana,529
Missouri,Indiana,2691
Montana,Indiana,83
Nebraska,Indiana,7
Nevada,Indiana,1022
New Hampshire,Indiana,340
New Jersey,Indiana,2661
New Mexico,Indiana,974
New York,Indiana,8782
North Carolina,Indiana,2634
North Dakota,Indiana,353
Ohio,Indiana,12493
Oklahoma,Indiana,644
Oregon,Indiana,492
Pennsylvania,Indiana,3117
Rhode Island,Indiana,47
South Carolina,Indiana,1221
South Dakota,Indiana,338
Tennessee,Indiana,3310
Texas,Indiana,9485
Utah,Indiana,1804
Vermont,Indiana,86
Virginia,Indiana,4401
Washington,Indiana,1635
West Virginia,Indiana,461
Wisconsin,Indiana,1738
Wyoming,Indiana,0
Puerto Rico,Indiana,54
Alabama,Iowa,130
Alaska,Iowa,209
Arizona,Iowa,3078
Arkansas,Iowa,114
California,Iowa,4406
Colorado,Iowa,3642
Connecticut,Iowa,33
Delaware,Iowa,168
District of Columbia ,Iowa,186
Florida,Iowa,4186
Georgia,Iowa,965
Hawaii,Iowa,52
Idaho,Iowa,703
Illinois,Iowa,11780
Indiana,Iowa,678
Iowa,Iowa,
Kansas,Iowa,2302
Kentucky,Iowa,448
Louisiana,Iowa,1605
Maine,Iowa,154
Maryland,Iowa,595
Massachusetts,Iowa,465
Michigan,Iowa,1496
Minnesota,Iowa,4755
Mississippi,Iowa,563
Missouri,Iowa,3238
